answer_id,question,business_unit,answer_date,confidence_score,source_type,grounded,has_citation,data_type
ANS-0054,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Compliance,2025-04-27,0.926,internal_kb,True,True,synthetic
ANS-0055,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Finance & Risk,2026-05-10,0.876,internal_kb,True,True,synthetic
ANS-0056,Apakah ada ketentuan margin vendor yang dibakukan?,Operations,2024-10-21,0.913,internal_kb,True,True,synthetic
ANS-0057,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Corporate Affairs,2026-07-15,0.965,user_provided,True,True,synthetic
ANS-0058,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Finance & Risk,2025-06-14,0.946,internal_kb,True,True,synthetic
ANS-0059,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,IT & Digital,2024-11-23,0.89,external_web,True,True,synthetic
ANS-0060,Apakah ada ketentuan margin vendor yang dibakukan?,Finance & Risk,2026-07-08,0.81,user_provided,True,True,synthetic
ANS-0061,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Compliance,2025-04-25,0.895,internal_kb,True,True,synthetic
ANS-0062,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Retail Banking,2024-09-26,0.969,user_provided,True,True,synthetic
ANS-0063,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Compliance,2025-05-03,0.891,internal_kb,True,True,synthetic
ANS-0064,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Operations,2026-07-19,0.868,internal_kb,True,True,synthetic
ANS-0065,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Corporate Affairs,2025-10-26,0.879,external_web,True,True,synthetic
ANS-0066,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,IT & Digital,2025-07-16,0.965,user_provided,True,True,synthetic
ANS-0067,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Finance & Risk,2026-07-20,0.912,internal_kb,True,True,synthetic
ANS-0068,Apakah ada ketentuan margin vendor yang dibakukan?,IT & Digital,2026-05-01,0.99,internal_kb,True,True,synthetic
ANS-0069,Apakah ada ketentuan margin vendor yang dibakukan?,Compliance,2025-07-02,0.947,internal_kb,True,True,synthetic
ANS-0070,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Retail Banking,2026-04-02,0.878,internal_kb,True,True,synthetic
ANS-0071,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Retail Banking,2026-05-07,0.96,internal_kb,True,True,synthetic
ANS-0072,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Corporate Affairs,2025-01-30,0.959,user_provided,True,True,synthetic
ANS-0073,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Operations,2026-02-18,0.426,user_provided,True,True,synthetic
ANS-0074,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Corporate Affairs,2025-05-12,0.275,internal_kb,True,True,synthetic
ANS-0075,Berapa lama masa berlaku kontrak vendor laptop 2024?,IT & Digital,2026-01-30,0.833,internal_kb,True,True,synthetic
ANS-0076,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Corporate Affairs,2024-12-27,0.863,internal_kb,True,True,synthetic
ANS-0077,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Compliance,2026-08-02,0.861,internal_kb,True,True,synthetic
ANS-0078,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Retail Banking,2025-05-28,0.894,internal_kb,True,True,synthetic
ANS-0079,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Finance & Risk,2024-12-27,0.894,internal_kb,True,True,synthetic
ANS-0080,Apa syarat approval untuk pengadaan di atas Rp200 juta?,IT & Digital,2025-06-08,0.895,internal_kb,True,True,synthetic
ANS-0081,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Retail Banking,2026-01-12,0.975,user_provided,True,True,synthetic
ANS-0082,Apakah ada ketentuan margin vendor yang dibakukan?,Corporate Affairs,2026-08-20,0.861,external_web,True,True,synthetic
ANS-0083,Berapa lama masa berlaku kontrak vendor laptop 2024?,Corporate Affairs,2025-09-06,0.883,internal_kb,True,True,synthetic
ANS-0084,Apakah ada ketentuan margin vendor yang dibakukan?,Operations,2026-06-18,0.938,user_provided,True,True,synthetic
ANS-0085,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,IT & Digital,2025-01-21,0.885,internal_kb,True,True,synthetic
ANS-0086,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Operations,2025-02-18,0.946,internal_kb,True,True,synthetic
ANS-0087,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Retail Banking,2025-01-20,0.318,internal_kb,True,True,synthetic
ANS-0088,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Corporate Affairs,2026-04-16,0.962,internal_kb,True,True,synthetic
ANS-0089,Berapa lama masa berlaku kontrak vendor laptop 2024?,Retail Banking,2026-04-14,0.898,user_provided,True,True,synthetic
ANS-0090,Apakah ada ketentuan margin vendor yang dibakukan?,Retail Banking,2026-08-02,0.543,internal_kb,True,True,synthetic
ANS-0091,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Retail Banking,2025-09-23,0.971,internal_kb,True,True,synthetic
ANS-0092,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Operations,2026-02-26,0.978,user_provided,True,True,synthetic
ANS-0093,Apakah ada ketentuan margin vendor yang dibakukan?,Operations,2024-10-10,0.863,internal_kb,True,True,synthetic
ANS-0094,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Compliance,2025-11-01,0.979,internal_kb,True,True,synthetic
ANS-0095,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Operations,2025-06-10,0.952,user_provided,True,True,synthetic
ANS-0096,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Operations,2026-02-04,0.956,user_provided,True,True,synthetic
ANS-0097,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Compliance,2024-11-24,0.828,user_provided,True,True,synthetic
ANS-0098,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Retail Banking,2026-03-28,0.908,internal_kb,True,True,synthetic
ANS-0099,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Corporate Affairs,2026-06-16,0.468,internal_kb,True,True,synthetic
ANS-0100,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,IT & Digital,2025-05-04,0.946,user_provided,True,True,synthetic
ANS-0101,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Finance & Risk,2025-06-12,0.962,internal_kb,True,True,synthetic
ANS-0102,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Finance & Risk,2025-10-26,0.912,internal_kb,True,True,synthetic
ANS-0103,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Finance & Risk,2024-10-05,0.379,internal_kb,True,True,synthetic
ANS-0104,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,IT & Digital,2024-12-29,0.981,user_provided,True,True,synthetic
ANS-0105,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Operations,2026-05-31,0.915,internal_kb,True,True,synthetic
ANS-0106,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Corporate Affairs,2026-07-30,0.911,external_web,True,True,synthetic
ANS-0107,Berapa lama masa berlaku kontrak vendor laptop 2024?,Corporate Affairs,2026-05-26,0.737,internal_kb,True,True,synthetic
ANS-0108,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,IT & Digital,2025-10-11,0.93,internal_kb,True,True,synthetic
ANS-0109,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Retail Banking,2025-10-20,0.88,external_web,True,True,synthetic
ANS-0110,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Finance & Risk,2025-04-28,0.952,internal_kb,True,True,synthetic
ANS-0111,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,IT & Digital,2025-01-11,0.824,user_provided,True,True,synthetic
ANS-0112,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Compliance,2025-08-24,0.962,external_web,True,True,synthetic
ANS-0113,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Corporate Affairs,2024-12-15,0.967,internal_kb,True,True,synthetic
ANS-0114,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,IT & Digital,2025-11-18,0.366,internal_kb,True,True,synthetic
ANS-0115,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,IT & Digital,2025-10-01,0.875,user_provided,True,True,synthetic
ANS-0116,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Operations,2024-12-05,0.889,internal_kb,True,True,synthetic
ANS-0117,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Corporate Affairs,2025-04-18,0.825,internal_kb,True,False,synthetic
ANS-0118,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Finance & Risk,2026-02-20,0.734,internal_kb,True,True,synthetic
ANS-0119,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Compliance,2025-10-30,0.985,internal_kb,True,True,synthetic
ANS-0120,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Corporate Affairs,2025-11-23,0.784,internal_kb,True,True,synthetic
ANS-0121,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Finance & Risk,2024-11-09,0.974,internal_kb,True,True,synthetic
ANS-0122,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Retail Banking,2025-08-19,0.897,internal_kb,True,False,synthetic
ANS-0123,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Compliance,2026-04-23,0.938,external_web,True,True,synthetic
ANS-0124,Berapa lama masa berlaku kontrak vendor laptop 2024?,IT & Digital,2026-08-19,0.877,internal_kb,True,True,synthetic
ANS-0125,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Retail Banking,2026-04-13,0.979,user_provided,True,True,synthetic
ANS-0126,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Corporate Affairs,2025-05-24,0.866,internal_kb,True,True,synthetic
ANS-0127,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Finance & Risk,2025-06-29,0.891,internal_kb,True,True,synthetic
ANS-0128,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Retail Banking,2026-05-06,0.41,user_provided,True,True,synthetic
ANS-0129,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Corporate Affairs,2026-06-15,0.934,internal_kb,True,True,synthetic
ANS-0130,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Retail Banking,2025-03-18,0.888,internal_kb,True,True,synthetic
ANS-0131,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,IT & Digital,2025-06-06,0.688,internal_kb,True,True,synthetic
ANS-0132,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Compliance,2025-09-16,0.896,internal_kb,True,True,synthetic
ANS-0133,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Operations,2026-03-24,0.96,internal_kb,True,True,synthetic
ANS-0134,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Compliance,2025-07-18,0.881,internal_kb,True,True,synthetic
ANS-0135,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Compliance,2025-04-28,0.977,user_provided,True,True,synthetic
ANS-0136,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Retail Banking,2025-10-17,0.863,internal_kb,True,True,synthetic
ANS-0137,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Retail Banking,2026-05-04,0.956,external_web,True,True,synthetic
ANS-0138,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Operations,2025-12-28,0.938,internal_kb,True,True,synthetic
ANS-0139,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Compliance,2025-05-20,0.973,internal_kb,True,True,synthetic
ANS-0140,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Finance & Risk,2025-03-30,0.906,internal_kb,True,True,synthetic
ANS-0141,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Compliance,2025-01-03,0.793,internal_kb,True,True,synthetic
ANS-0142,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,IT & Digital,2026-02-09,0.911,internal_kb,True,True,synthetic
ANS-0143,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,IT & Digital,2026-07-14,0.632,internal_kb,True,True,synthetic
ANS-0144,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Finance & Risk,2025-08-06,0.987,internal_kb,True,True,synthetic
ANS-0145,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Corporate Affairs,2025-12-28,0.861,user_provided,True,True,synthetic
ANS-0146,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Finance & Risk,2025-09-29,0.949,external_web,True,True,synthetic
ANS-0147,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Operations,2024-11-26,0.829,internal_kb,True,True,synthetic
ANS-0148,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Corporate Affairs,2024-12-05,0.975,internal_kb,True,False,synthetic
ANS-0149,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Finance & Risk,2025-05-17,0.983,internal_kb,True,True,synthetic
ANS-0150,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Operations,2026-04-11,0.552,internal_kb,True,True,synthetic
ANS-0151,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,IT & Digital,2025-10-05,0.64,user_provided,True,True,synthetic
ANS-0152,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,IT & Digital,2024-09-28,0.99,internal_kb,True,True,synthetic
ANS-0153,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Compliance,2026-06-02,0.803,internal_kb,True,True,synthetic
ANS-0154,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Compliance,2024-11-13,0.913,internal_kb,True,True,synthetic
ANS-0155,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Retail Banking,2026-03-15,0.977,external_web,True,True,synthetic
ANS-0156,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Retail Banking,2024-11-11,0.977,user_provided,True,True,synthetic
ANS-0157,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Corporate Affairs,2026-01-07,0.965,internal_kb,True,True,synthetic
ANS-0158,Berapa lama masa berlaku kontrak vendor laptop 2024?,Operations,2026-01-01,0.68,user_provided,True,True,synthetic
ANS-0159,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Compliance,2024-10-06,0.983,external_web,True,True,synthetic
ANS-0160,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Corporate Affairs,2025-05-18,0.951,user_provided,True,True,synthetic
ANS-0161,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,IT & Digital,2025-05-27,0.983,internal_kb,True,True,synthetic
ANS-0162,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Retail Banking,2024-10-31,0.682,user_provided,True,True,synthetic
ANS-0163,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Retail Banking,2026-04-14,0.901,user_provided,True,True,synthetic
ANS-0164,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Retail Banking,2025-01-24,0.865,internal_kb,True,True,synthetic
ANS-0165,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Finance & Risk,2026-08-15,0.932,internal_kb,True,True,synthetic
ANS-0166,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Retail Banking,2025-08-06,0.636,internal_kb,True,True,synthetic
ANS-0167,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,Retail Banking,2026-07-06,0.989,internal_kb,True,True,synthetic
ANS-0168,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Compliance,2025-01-27,0.929,internal_kb,True,False,synthetic
ANS-0169,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Corporate Affairs,2026-05-06,0.461,internal_kb,True,True,synthetic
ANS-0170,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,IT & Digital,2025-06-20,0.724,internal_kb,True,True,synthetic
ANS-0171,Apakah kontrak vendor laptop saat ini sudah termasuk PPN?,IT & Digital,2025-02-26,0.913,internal_kb,True,True,synthetic
ANS-0172,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Corporate Affairs,2026-07-23,0.968,internal_kb,True,True,synthetic
ANS-0173,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Retail Banking,2025-09-02,0.943,internal_kb,True,True,synthetic
ANS-0174,Apa syarat approval untuk pengadaan di atas Rp200 juta?,IT & Digital,2025-05-25,0.908,internal_kb,True,True,synthetic
ANS-0175,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Operations,2025-09-24,0.896,internal_kb,True,True,synthetic
ANS-0176,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Compliance,2025-03-04,0.709,internal_kb,True,True,synthetic
ANS-0177,Apa syarat approval untuk pengadaan di atas Rp200 juta?,IT & Digital,2025-03-11,0.698,internal_kb,True,True,synthetic
ANS-0178,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,IT & Digital,2025-11-21,0.945,internal_kb,True,True,synthetic
ANS-0179,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Finance & Risk,2024-11-06,0.956,internal_kb,True,True,synthetic
ANS-0180,Apa perbedaan RAB Direktorat Bidang dan RAB reguler?,Compliance,2025-02-07,0.92,user_provided,True,True,synthetic
ANS-0181,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Corporate Affairs,2026-04-08,0.944,internal_kb,True,True,synthetic
ANS-0182,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,IT & Digital,2024-10-03,0.977,user_provided,True,True,synthetic
ANS-0183,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Compliance,2025-05-12,0.905,internal_kb,True,True,synthetic
ANS-0184,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Operations,2026-04-26,0.897,internal_kb,True,True,synthetic
ANS-0185,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Finance & Risk,2024-11-06,0.47,internal_kb,True,True,synthetic
ANS-0186,Berapa lama masa berlaku kontrak vendor laptop 2024?,Finance & Risk,2025-07-05,0.467,internal_kb,True,True,synthetic
ANS-0187,Apakah ada ketentuan margin vendor yang dibakukan?,IT & Digital,2025-08-30,0.959,internal_kb,True,True,synthetic
ANS-0188,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Compliance,2026-01-04,0.985,internal_kb,True,True,synthetic
ANS-0189,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Retail Banking,2025-06-24,0.925,internal_kb,True,True,synthetic
ANS-0190,Apa syarat approval untuk pengadaan di atas Rp200 juta?,IT & Digital,2024-11-07,0.892,user_provided,True,True,synthetic
ANS-0191,Apa dasar hukum penyusunan HPS untuk pengadaan laptop?,Operations,2025-02-08,0.689,internal_kb,True,True,synthetic
ANS-0192,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,Operations,2026-03-24,0.685,external_web,True,True,synthetic
ANS-0193,Berapa ambang batas nilai yang memerlukan tanda tangan Direktur?,Corporate Affairs,2025-04-18,0.893,internal_kb,True,True,synthetic
ANS-0194,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Corporate Affairs,2025-11-21,0.986,internal_kb,True,True,synthetic
ANS-0195,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,Compliance,2026-03-23,0.988,internal_kb,True,True,synthetic
ANS-0196,Berapa lama masa berlaku kontrak vendor laptop 2024?,Retail Banking,2025-05-18,0.646,external_web,True,True,synthetic
ANS-0197,Apa syarat approval untuk pengadaan di atas Rp200 juta?,Finance & Risk,2026-01-31,0.904,internal_kb,True,True,synthetic
ANS-0198,Siapa yang berwenang menyetujui perubahan spesifikasi pengadaan?,Operations,2025-07-26,0.974,internal_kb,True,True,synthetic
ANS-0199,Dokumen apa yang wajib dilampirkan pada RKS pengadaan?,IT & Digital,2025-02-02,0.926,internal_kb,True,True,synthetic
ANS-0200,Bagaimana prosedur jika ditemukan indikasi harga di luar benchmark pasar?,IT & Digital,2024-09-30,0.969,internal_kb,True,True,synthetic
